ACOUSTICS,,
World Rank,Institution,Score
1,University of Florence,100
2,Katholieke Universiteit Leuven,98.98
3,China Pharmaceutical University,92.7
4,University of Naples Federico II,91.6
5,University of North Carolina at Chapel Hill,90.42
6,Harvard University,89.88
7,Kyoto University,89.09
8,Sapienza University of Rome,88.68
9,Shandong University,88.31
10,University of Bonn,87.05
,,
,,
,,
"CHEMISTRY, MULTIDISCIPLINARY",,
World Rank,Institution,Score
1,"University of California, Berkeley",100
2,Massachusetts Institute of Technology,98.39
3,University of Tokyo,97.1
4,Kyoto University,97.08
5,Northwestern University,96.33
6,Peking University,95.11
7,Nanyang Technological University,95.04
8,Stanford University,94.6
9,Osaka University,94.51
10,University of Cambridge,94.3
,,
,,
,,
"CHEMISTRY, ORGANIC",,
World Rank,Institution,Score
1,Lanzhou University,100
2,Kyoto University,99.77
3,Nankai University,98.8
4,Osaka University,96.89
5,Peking University,96.77
6,Zhejiang University,95.1
7,University of Tokyo,94.75
8,Nanyang Technological University,93.95
9,University of Oxford,93.04
10,National University of Singapore,90.47
,,
,,
,,
"CHEMISTRY, PHYSICAL",,
World Rank,Institution,Score
1,"University of California, Berkeley",100
2,Massachusetts Institute of Technology,98.41
3,Georgia Institute of Technology,96.04
4,Nanyang Technological University,95.86
5,Northwestern University,95.8
6,University of Chicago,95.43
7,Tsinghua University,93.96
8,University of Science and Technology of China,93.93
9,Stanford University,93.7
10,National University of Singapore,93.69
,,
,,
,,
CLINICAL NEUROLOGY,,
World Rank,Institution,Score
1,Harvard University,100
2,University College London,95.46
3,"University of California, San Francisco",93.54
4,University of Toronto,93.1
5,Johns Hopkins University,90.72
6,University of Pennsylvania,89.82
7,Columbia University,87.92
8,"University of California, Los Angeles",87.68
9,VU University Amsterdam,85.8
10,University of Pittsburgh,85.79
,,
,,
,,
COMMUNICATION,,
World Rank,Institution,Score
1,Ohio State University,100
2,Michigan State University,96.25
3,University of Michigan,93.13
4,University of Wisconsin–Madison,92.01
5,University of Texas at Austin,90.36
6,University of Illinois at Urbana–Champaign,88.02
7,University of Amsterdam,87.29
8,"University of Maryland, College Park",86.92
9,Pennsylvania State University,86.34
10,University of Pennsylvania,85.95
,,
,,
,,
"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",,
World Rank,Institution,Score
1,Nanyang Technological University,100
2,Hong Kong Polytechnic University,99.23
3,City University of Hong Kong,96.74
4,Tsinghua University,95.65
5,National University of Singapore,93.76
6,National Taiwan University of Science and Technology,92.1
7,National Cheng Kung University,91.2
8,Shanghai Jiao Tong University,89.92
9,National Chiao Tung University,89.44
10,Harbin Institute of Technology,89.31
,,
,,
,,
"COMPUTER SCIENCE, CYBERNETICS",,
World Rank,Institution,Score
1,Tongji University,100
2,New Jersey Institute of Technology,98.29
3,Hong Kong Polytechnic University,97.08
4,Harbin Institute of Technology,96.45
4,Huazhong University of Science and Technology,96.45
4,Nanyang Technological University,96.45
7,City University of Hong Kong,95.15
8,University of Macau,92.34
9,University of Adelaide,89.19
10,Zhejiang University,88.34
,,
,,
,,
"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",,
World Rank,Institution,Score
1,Tsinghua University,100
2,Nanyang Technological University,96.66
3,Purdue University,93.44
4,University of Waterloo,93.34
5,Georgia Institute of Technology,91.95
6,Massachusetts Institute of Technology,89.14
7,National Chiao Tung University,88.65
8,KAIST,88.01
9,Hong Kong University of Science and Technology,87.75
10,Princeton University,87.22
,,
,,
,,
"COMPUTER SCIENCE, INFORMATION SYSTEMS",,
World Rank,Institution,Score
1,Tsinghua University,100
2,Nanyang Technological University,99.93
3,Stanford University,96.5
